Recipe	Batch Size	Ingredient	Quantity (kg)	Step / Section	Process Notes
Cacao Recipe = 180kg	180 kg	Vanilla essence	0.01	Add into 2 silver cooking pots -	
Cacao Recipe = 180kg	180 kg	Coconut Oil	2.5	Add into 4 silver cooking pots -	
Cacao Recipe = 180kg	180 kg	Honey	2.5	Add into 4 silver cooking pots -	
Cacao Recipe = 180kg	180 kg	Maca	0.125	Dusting -  ADD below ingredients into each tub	
Cacao Recipe = 180kg	180 kg	Mesquite	0.125	Dusting -  ADD below ingredients into each tub	
Cacao Recipe = 180kg	180 kg	Macadamia	1.0	Dusting -  ADD below ingredients into each tub	
Cacao Recipe = 180kg	180 kg	Int. Pecans	1.0	Dusting -  ADD below ingredients into each tub	
Cacao Recipe = 180kg	180 kg	Int. Almonds  B grade	1.0	Dusting -  ADD below ingredients into each tub	
EROS = 150KG	150 kg	Red coconut IRC	15.0	Get 4 tubs (2-Clustered, 2-Unclustered), ADD below ingredients into each tub	Assembly: Dry Ingredients; blending spices | Cooking: Sweetner; Cooking in oven; Laying on oven trays | Bucketing: Includes dusting ingredients after cooking process; Bucketing with Silica | 1. Heat cacao butter at 400 WATTS till liquid. approx 15 mins | 2. Heat rice malt at 3000W for 7 mins till bubbling (approx 10 secs bubbling) | 4. Tip CLUSTERED tubs into 2 silver basins and mix | 5. Mix both rice malt and cacao butter into each clustered basins THOROUGHLY | 6. Scoop Clustered batch with a 5LTR measuring jug onto oven trays evenly | 7. Cook in oven on 135*C for 25 minutes, %60 fan funciton, repeat until all Clustered batch is cooked | 8. Set up 4 tubs , divide cooked Clustered batch evenly into each tub | 1. Heat Cacao butter at 400 WATTS for. approx 15mins | 2. Cook rice malt for 5 mins @ 3000 watts | 3. Tip UNCLUSTERED tub into silver basin and mix | 4. Mix both pots of Sweetner into unclustered tub THOROUGHLY | 5. Scoop Unclustered batch with a 3.5LTR measuring jug onto oven trays evenly | 6. Cook in oven on 130*C for 25 minutes, % 60 fan function repeat until all Unclustered batch is cooked | 7. Divide Unclustered batch evenly into the 4 tubs of the Clustered batch | MIX well, then using a scoop, fill buckets (Silica at the top of the product), place lid on tightly, write product and date on bucket lid
EROS = 150KG	150 kg	Act. Buckwheat	7.55	Get 4 tubs (2-Clustered, 2-Unclustered), ADD below ingredients into each tub	
EROS = 150KG	150 kg	Raw Pepita	4.0	Get 4 tubs (2-Clustered, 2-Unclustered), ADD below ingredients into each tub	
EROS = 150KG	150 kg	Puffed Buckwheat	0.5	Get 4 tubs (2-Clustered, 2-Unclustered), ADD below ingredients into each tub	
EROS = 150KG	150 kg	Ginger powder	0.4	Get 4 tubs (2-Clustered, 2-Unclustered), ADD below ingredients into each tub	
EROS = 150KG	150 kg	Cinnamon powder	0.3	Get 4 tubs (2-Clustered, 2-Unclustered), ADD below ingredients into each tub	
EROS = 150KG	150 kg	Linseed	3.0	Add the following into both CLUSTERED tubs	
EROS = 150KG	150 kg	Ginkgo leaf	0.03	Add the following into both CLUSTERED tubs	
EROS = 150KG	150 kg	Cacao Butter	2.0	Add to 4 seperate silver cooking pots -	
EROS = 150KG	150 kg	Rice Malt	5.0	Add to 4 seperate silver cooking pots -	
EROS = 150KG	150 kg	Vanilla	0.01	Add to 4 seperate silver cooking pots -	
EROS = 150KG	150 kg	Cacao Butter	2.0	Add to 4 seperate silver cooking pots -	
EROS = 150KG	150 kg	Rice Malt	3.0	Add to 4 seperate silver cooking pots -	
EROS = 150KG	150 kg	Vanilla	0.01	Add to 4 seperate silver cooking pots -	
EROS = 150KG	150 kg	Puff Buckwheat	0.1	Dusting -  ADD below ingredients into each tub	
EROS = 150KG	150 kg	Rose Petals	0.25	Dusting -  ADD below ingredients into each tub	
EROS = 150KG	150 kg	Int. Pecans	1.5	Dusting -  ADD below ingredients into each tub	
EROS = 150KG	150 kg	Macadamia	1.5	Dusting -  ADD below ingredients into each tub	
EROS = 150KG	150 kg	Cranberries	2.0	Dusting -  ADD below ingredients into each tub	
EROS = 150KG	150 kg	Mesquite	0.025	Dusting -  ADD below ingredients into each tub	
EROS = 150KG	150 kg	Maca	0.025	Dusting -  ADD below ingredients into each tub	
EROS = 150KG	150 kg	Pomegranate	0.25	Dusting -  ADD below ingredients into each tub	
Birchia 170kg	170 kg	Coconut Chips	25.0	Combine below ingredients together into 2 basins	Assembly: Dry Ingredients; Mix | Cooking: Lightly bake @ 145*C for 25mins; %30 fan function | Bucketing: Includes dusting ingredients after cooking process | 1. Lay on oven trays with a 3Ltr measuring jug | 2. Cook in oven for 25 minutes @ 145*C , %30 fan function | MIX well, then using large scoop, fill 16-17 buckets (Silica on the top of bucket), place lid on tightly, write product and date on bucket lid
Birchia 170kg	170 kg	Quinoa Flakes	10.0	Combine below ingredients together into 2 basins	
Birchia 170kg	170 kg	Linseed	4.0	Divide cooked ingredients into 4 tubs and add the following into each tub	
Birchia 170kg	170 kg	Pepita	5.0	Divide cooked ingredients into 4 tubs and add the following into each tub	
Birchia 170kg	170 kg	Int. Almond B grade	1.0	Divide cooked ingredients into 4 tubs and add the following into each tub	
Birchia 170kg	170 kg	Macadamia	1.0	Divide cooked ingredients into 4 tubs and add the following into each tub	
Birchia 170kg	170 kg	Int. Pecans	1.0	Divide cooked ingredients into 4 tubs and add the following into each tub	
Birchia 170kg	170 kg	Int. Buckwheat	8.4	Divide cooked ingredients into 4 tubs and add the following into each tub	
Birchia 170kg	170 kg	Chia seed	4.0	Divide cooked ingredients into 4 tubs and add the following into each tub	
Birchia 170kg	170 kg	Cinnamon	0.3	Dusting -  ADD below ingredients into each tub	
Birchia 170kg	170 kg	Ginger	0.2	Dusting -  ADD below ingredients into each tub	
Birchia 170kg	170 kg	Maca	0.05	Dusting -  ADD below ingredients into each tub	
Birchia 170kg	170 kg	Mesquite	0.05	Dusting -  ADD below ingredients into each tub	
Golden Recipe = 160kg	160 kg	coconut chips	10.0	Prepare 4 tubs on kitchen scales (2- Clustered, 2- Unclustered), in each, add the following	Assembly: Dry Ingredients; Mix; blending spices | Cooking: Sweetner; Cooking in oven | Bucketing: Dusting/Bucketing | MIx ingredients well until coconut chips are covered all over (no white bits of the coconut to be seen) | 1. Cook Rice malt at 3000 WATTS for 7 mins ( till boiling for 10 secs) | 2. Tip both clustered tubs into 2 large silver basins and mix | 3. Mix both cooked rice malt pots into clustered basins THOROUGHLY | 4. Scoop Clustered batch with a 5LTR measuring jug, spread onto oven trays evenly | 5. Cook in oven on 140*C for 30 minutes, %60 fan function, repeat until all Clustered batch is cooked | 6. Divide cooked Clustered batch evenly into 4 tubs | 1. Cook rice malt at 1800 WHATTS for 6 minutes approx. (till boiled for 10 secs) | 2. Heat coconut oil on 400 for 10 mins ( till liquid) | 3. Tip both unclustered tubs into 2 silver basins and mix | 4. Mix rice malt and coconut oil into each unclustered basins THOROUGHLY | 5. Scoop Unclustered batch with a 3.5LTR measuring jug, spread onto oven trays evenly | 6. Cook in oven on 135*C for 30 minutes, %60 fan function, repeat until all Unclustered batch is cooked | 7. Divide Unclustered batch evenly into the 4 tubs of the clustered batch | MIX well, then using large scoop, fill 17 buckets (Silica on the top of bucket), place lid on tightly, write product and date on bucket lid
Golden Recipe = 160kg	160 kg	Turmeric powder	0.32	Prepare 4 tubs on kitchen scales (2- Clustered, 2- Unclustered), in each, add the following	
Golden Recipe = 160kg	160 kg	Ginger powder	0.2	Prepare 4 tubs on kitchen scales (2- Clustered, 2- Unclustered), in each, add the following	
Golden Recipe = 160kg	160 kg	Cinnamon powder	0.2	Prepare 4 tubs on kitchen scales (2- Clustered, 2- Unclustered), in each, add the following	
Golden Recipe = 160kg	160 kg	Oats	8.0	Add to each tub	
Golden Recipe = 160kg	160 kg	Int. Sunflower	4.0	Add to each tub	
Golden Recipe = 160kg	160 kg	Raw Pepitas	4.0	Add to each tub	
Golden Recipe = 160kg	160 kg	Int. Buckwheat	8.3	Add to each tub	
Golden Recipe = 160kg	160 kg	Int. Golden spice mix	0.175	Add to each tub	
Golden Recipe = 160kg	160 kg	Nigella	0.2	Add to each tub	
Golden Recipe = 160kg	160 kg	safflower	0.16	Add to each tub	
Golden Recipe = 160kg	160 kg	Rice Malt	5.0	Add into 2 silver cooking pots -	
Golden Recipe = 160kg	160 kg	Vanilla essence	0.01	Add into 2 silver cooking pots -	
Golden Recipe = 160kg	160 kg	Add into 4 silver cooking pots -	UNCLUSTERED	Add into 2 silver cooking pots -	
Golden Recipe = 160kg	160 kg	Coconut OIl	2.0	Add into 4 silver cooking pots -	
Golden Recipe = 160kg	160 kg	Rice Malt	2.5	Add into 4 silver cooking pots -	
Golden Recipe = 160kg	160 kg	Macadamia	1.0	Dusting -  ADD below ingredients into each tub	
Golden Recipe = 160kg	160 kg	Int. Almonds B grade	1.0	Dusting -  ADD below ingredients into each tub	
Golden Recipe = 160kg	160 kg	Int. Pecans	1.0	Dusting -  ADD below ingredients into each tub	
Golden Recipe = 160kg	160 kg	Maca	0.08	Dusting -  ADD below ingredients into each tub	
Golden Recipe = 160kg	160 kg	Mesquite	0.08	Dusting -  ADD below ingredients into each tub	
Golden Recipe = 160kg	160 kg	Lemon Powder	0.08	Dusting -  ADD below ingredients into each tub	
Golden Recipe = 160kg	160 kg	Lemon Myrtle	0.06	Dusting -  ADD below ingredients into each tub	
Golden Spices = 3.5kg	3.5 kg	Cardamom Pods	1.0	Using Tabletop (kitchen) blender, blend the following ingredients	Assembly: Dry Ingredients; Mix; blending spices | Once all is blended Keep in a bucket for when its needed for Golden Granola, label with SKU and date on the lid of the bucket
Golden Spices = 3.5kg	3.5 kg	Cloves	0.3	Using Tabletop (kitchen) blender, blend the following ingredients	
Golden Spices = 3.5kg	3.5 kg	Star Anise pieces	1.0	Using Tabletop (kitchen) blender, blend the following ingredients	
Golden Spices = 3.5kg	3.5 kg	Pepper Powder	0.4	Using Tabletop (kitchen) blender, blend the following ingredients	
Golden Spices = 3.5kg	3.5 kg	Nutmeg Chips	0.8	Using Tabletop (kitchen) blender, blend the following ingredients	
Yummy Beans		Shitaake mushrooms chips	2.0	Add below ingredients into 2 basins	Assembly: Dry Ingredients | Cooking: Cooking in oven; Laying on oven trays | Bucketing: Bucketing with Silica | 1. Process 4kg of Shiitaki Mushrooms in the food processor until small chips. | 2. Mix both ingredients well | 3. Mix all ingredients in silver basins with green kitchen gloves on until well mixed | Use a 3ltr measuring jug to scoop and lay onto oven trays | cook at 135* for 25 mins intervals | once the timer goes off with first batch, cool infront of fan for 15 minutes then split product into 4 black tubs equally | repeat untill all product is cooked | Bucket into 20ltr buckets with designated silicas ontop of the product, lid and date the buckets
Yummy Beans		Olive oil	4.0	Add below ingredients into 2 basins	
Yummy Beans		Sesame Seeds ORGANIC	4.0	Add below ingredients into both silver basins	
Yummy Beans		Pepitas	12.0	Add below ingredients into both silver basins	
Yummy Beans		Int. Sunflower seeds	12.5	Add below ingredients into both silver basins	
Yummy Beans		Int. Lentil	19.0	Add below ingredients into both silver basins	
Yummy Beans		Mild Curry Powder	0.5	Add below ingredients into both silver basins	
Yummy Beans		Amchur	0.25	Add below ingredients into both silver basins	
Yummy Beans		Tomato Powder	0.2	Add below ingredients into both silver basins	
Yummy Beans		Nigella Seed Organic	0.2	Add below ingredients into both silver basins	
Yummy Beans		Paprika Smoked	0.2	Add below ingredients into both silver basins	
Yummy Beans		Cooking Salt	0.1	Add below ingredients into both silver basins	
Yummy Beans		Rosemary	0.2	Add below ingredients into both silver basins	
Yummy Beans		Garlic Powder	0.3	Add below ingredients into both silver basins	
Yummy Beans		Nutritional Yeast	0.5	Add below ingredients into both silver basins	
Yummy Beans		Finely ground  Black pepper	0.1	Add below ingredients into both silver basins	
Yummy Beans		Int. Almond B grade	3.225	Once all the cooked product is in the black tubs, add the following to EACH tub	
KOMBUCHA	20.4 kg	HONEY	0.2		
KOMBUCHA	20.4 kg	TEA	0.2		
KOMBUCHA	20.4 kg	WATER	20.0		
Red Coconut = 64kg	64 kg	Coconut chips	60.0	In  larger silver basin add the following	Assembly: -Dry Ingredients; -paint stirer procedure; -Laying | Cooking: -Dehydrator; -60*C; -Overnight | Bucketing: -Includes dusting ingredients after cooking process; -Bucketing | Pour wet mixture into basin with coconut chips, MIx well until the coconut chips are red all over (no white bits of the coconut to be seen) | Scoop Red Coconut Chips with 3Ltr measuring jug, lay onto deydrating trays , leaving an edge of 2inches around the tray, place trays in the deydrating trollies. This will occupy ONE entire trolley | Dehydrate on 60*C overnight ready for Eros Recipe the following day | Remove trollies from Deydrator, Prepare two tubs on kitchen scales, empty Red Coconut Chips evenly into each tub (weighing approx 28.5Kg each) , set aside for Eros Recipe completion
Red Coconut = 64kg	64 kg	Water	26.0	Combine below ingredients into a large blue tub and mix well with paint stirer	
Red Coconut = 64kg	64 kg	Beetroot powder	4.0	Combine below ingredients into a large blue tub and mix well with paint stirer	
Korean 300kg	300 kg	Almonds Raw	80.0	Soak the night before, (12 HOUR SOAK, drain in the morning)	Assembly: Soaking; Sauce Procedure Step 1; Blending with Paint stirer | Cooking: Sauce Procedure - STEP 2; Adding to Rice Malt | Mixing: Silver Basin ingredients; Sauce Mixture | Bucketing: Laying; Dehydrating; Bucketing | MIx the following in 20ltr bucket 0.84kg miso powder with 1.5kg water with the paint stirrer to make a miso paste (do this 4 times for each bucket) | 2. Once all ingredients are added to 20ltr buckets, Stir with paint stirer | 2. Once rice malt is boiling,  Add prepared buckets of KBBQ sauce to each pot of boiled rice malt and stir well to combine | 3. Reduce heat to 800W, Keep simmmering for 15 mins approx till rice malt is consistenly mixed through sauce | Weigh out left over dust in buckets. Split evenly into basins. | MAX HALF BUCKET OF DUST PER BATCH | Add sauce mixture to large siver basins, Mix untill all ingredients are covered in sauce | Lay mixed ingredients on dehydrating trays with a 3lt measuring jug as thin as possible, leaving a 2inch boarder around the edge | Dehydrate for 48hours at 55*C | Using a metal scoop, fill buckets (Silica on the top of bucket), place lid on tightly, write product and date on bucket lid
Korean 300kg	300 kg	Salt	0.25	Soak the night before, (12 HOUR SOAK, drain in the morning)	
Korean 300kg	300 kg	Biotics	0.25	Soak the night before, (12 HOUR SOAK, drain in the morning)	
Korean 300kg	300 kg	Walnuts Raw	80.0	Soak the night before, (12 HOUR SOAK, drain in the morning)	
Korean 300kg	300 kg	Salt	0.25	Soak the night before, (12 HOUR SOAK, drain in the morning)	
Korean 300kg	300 kg	Biotics	0.25	Soak the night before, (12 HOUR SOAK, drain in the morning)	
Korean 300kg	300 kg	Garlic powder	0.75	Add to 4 x 20Ltr  buckets the following..	
Korean 300kg	300 kg	Water	1.0	Add to 4 x 20Ltr  buckets the following..	
Korean 300kg	300 kg	MIso paste	2.34	Add to 4 x 20Ltr  buckets the following..	
Korean 300kg	300 kg	Tamari	2.4	1. Blend well with paint stirer, then add the following ingredients to each bucket	
Korean 300kg	300 kg	Gochugaru	4.0	1. Blend well with paint stirer, then add the following ingredients to each bucket	
Korean 300kg	300 kg	Hot Water	10.0	1. Blend well with paint stirer, then add the following ingredients to each bucket	
Korean 300kg	300 kg	Rice Malt	6.5	1. Heat the following in 4 large pots on 3000W  approx 10-12 mins, (untill bubbling for 10 secs)	
Korean 300kg	300 kg	Soaked Walnuts	SPLIT	In 4 large silver basins, split the soaked almonds and walnuts equally and add the following	
Korean 300kg	300 kg	Soaked Almonds	SPLIT	In 4 large silver basins, split the soaked almonds and walnuts equally and add the following	
Korean 300kg	300 kg	Sesame Seed	5.0	In 4 large silver basins, split the soaked almonds and walnuts equally and add the following	
Korean 300kg	300 kg	Act. Lentils	12.7	In 4 large silver basins, split the soaked almonds and walnuts equally and add the following	
Maple cinnamon B GRADE=150kg	150 kg	Walnuts Raw	80.0	Soak the night before, (12 HOUR SOAK, open tap in the morning)	Assembly: Soaking; Sauce Procedure Step 1 | Cooking: Sauce Procedure Step 2; Blending with paint stirer | Mixing: Silver Basin ingredients; Sauce Mixture | Bucketing: Laying; Dehydrating; Bucketing | This recipe is one batch , it will be split into 5 basins | Whisk added ingredients with paddle untill well combined then remove from heat | In 5 large silver basins, split the following ingredients into each basin equally using a 20L bucket | 1. Weigh out left over dust in buckets. Split evenly into basins. | (MAX HALF BUCKET OF DUST PER BASIN) | 2. Add sauce mixture to each large siver basin, Mix untill all nuts are covered in sauce | Lay mixed ingredients on dehydrating trays with a 3lt measuring jug as thin as possible, leaving a 2inch boarder around the edge. Each basin will occupy approximatley 44 trays | Dehydrate for 48hours at 55*C | Using a metal scoop, fill buckets (Silica on the top of bucket), place lid on tightly, write product and date on bucket lid
Maple cinnamon B GRADE=150kg	150 kg	Salt	0.375	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Maple cinnamon B GRADE=150kg	150 kg	apple cider vinegar	0.0625	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Maple cinnamon B GRADE=150kg	150 kg	Almonds B Raw	33.0	Soak the morning of, (6 HOUR SOAK)	
Maple cinnamon B GRADE=150kg	150 kg	Salt	0.375	Soak the morning of, (6 HOUR SOAK)	
Maple cinnamon B GRADE=150kg	150 kg	apple cider vinegar	0.0625	Soak the morning of, (6 HOUR SOAK)	
Maple cinnamon B GRADE=150kg	150 kg	Nut butter	5.0	Blend the following in robotcoupe (blender)	
Maple cinnamon B GRADE=150kg	150 kg	Maple Syrup	5.0	In 5 large pots, cook the following at 3000 for 20minutes  till it bubbles	
Maple cinnamon B GRADE=150kg	150 kg	Tapioca	0.025	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
Maple cinnamon B GRADE=150kg	150 kg	Nut Butter	1.0	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
Maple cinnamon B GRADE=150kg	150 kg	Vanilla Essence	0.005	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
Maple cinnamon B GRADE=150kg	150 kg	Salt	0.05	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
Maple cinnamon B GRADE=150kg	150 kg	Cinnamon	0.5	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
Maple cinnamon B GRADE=150kg	150 kg	Soaked Almonds B	SPLIT	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
Maple cinnamon B GRADE=150kg	150 kg	Soaked Walnuts	SPLIT	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
Choc Rasp Cookies		GF Flour	1550.0		Step 1: Combine all Dry ingredients | Step 2: Separately combine all Wet ingredients - don't heat honey just stir throught melted coco oil | Step 3: Use food processor to chop Pecans into rough pieces (not too small) | Step 4: Separatey combine chopped pecans with the remaining Add-ins | Step 5: Add the dry mix to the food processor, quick blitz to ensure fully mixed | Step 6: Add the wet mix & blend to form a dough | Step 7: Add the mix of add-ins a little at a time & blend slowly to fully combine - may have to finish mixing by hand | Step 8: Transfer dough to a container and chill (in coolroom) - 30 mins+ | Step 9: Roll out dough into walnut-size balls & evenly space 30 on each oven tray, then press lightly down to flatten into even circles | Step 10: Bake at 160' for 18-19 mins | Step 11: Leave to cool then jar straight away; 3 in each short jar | Step 12: GF FLOUR | Step 13: Sorghum flour | Step 14: Tapioca flour | Step 15: Brown Rice | Step 16: Buckwheat
Choc Rasp Cookies		Cacao powder	270.0		
Choc Rasp Cookies		Bicarb	12.0		
Choc Rasp Cookies		Salt	12.0		
Choc Rasp Cookies		Wattleseed	54.0		
Choc Rasp Cookies		Maca	33.0		
Choc Rasp Cookies		Vanilla	12.0		
Choc Rasp Cookies		Cinnamon	27.0		
Choc Rasp Cookies		Pomegranate pwdr	35.0		
Choc Rasp Cookies		Honey	1500.0		
Choc Rasp Cookies		Coconut oil	700.0		
Choc Rasp Cookies		Pecans	550.0		
Choc Rasp Cookies		Dried Raspberries	600.0		
Choc Rasp Cookies		Cacao nibs	300.0		
Choc Rasp Cookies		Pepitas ACTV	300.0		
Choc Rasp Cookies 5kg	5 kg	Pecan Intermediate	0.45	Blitz the following ingredients in the LARGE food processor until "just broken up".                                         PRESS ON FOR 2 SECONDS ONLY	baking | Set aside in a large jug. | TURN OFF BURNER AFTER THIS PROCESS | Add the warn Honey and Coconut oil to the dry ingredients in the LARGE food processor, close lid and blend until well combined, roughly 3 minutes | Once dough is made, transfer to a blue tub and leave in cool room for 30 minutes | Roll out dough into WALNUT sized balls and evenly space 30 on each oven tray, then press lightly to down to flatten into even circles | Bake at 160* in the oven for 18-19 minutes | Leave to cool on baking trays | Once cooled, place 3 cookies into cookie jar with colour paper.
Choc Rasp Cookies 5kg	5 kg	Dried Raspberries	0.5	Blitz the following ingredients in the LARGE food processor until "just broken up".                                         PRESS ON FOR 2 SECONDS ONLY	
Choc Rasp Cookies 5kg	5 kg	GF Flour	1.3	Combine below ingredients together in the LARGE food processor, blend untill combined (dry ingredients)	
Choc Rasp Cookies 5kg	5 kg	Cacao powder	0.25	Combine below ingredients together in the LARGE food processor, blend untill combined (dry ingredients)	
Choc Rasp Cookies 5kg	5 kg	Bicarb	0.01	Combine below ingredients together in the LARGE food processor, blend untill combined (dry ingredients)	
Choc Rasp Cookies 5kg	5 kg	Salt	0.01	Combine below ingredients together in the LARGE food processor, blend untill combined (dry ingredients)	
Choc Rasp Cookies 5kg	5 kg	Wattleseed	0.04	Combine below ingredients together in the LARGE food processor, blend untill combined (dry ingredients)	
Choc Rasp Cookies 5kg	5 kg	Maca	0.025	Combine below ingredients together in the LARGE food processor, blend untill combined (dry ingredients)	
Choc Rasp Cookies 5kg	5 kg	Vanilla	0.01	Combine below ingredients together in the LARGE food processor, blend untill combined (dry ingredients)	
Choc Rasp Cookies 5kg	5 kg	Cinnamon	0.025	Combine below ingredients together in the LARGE food processor, blend untill combined (dry ingredients)	
Choc Rasp Cookies 5kg	5 kg	Coconut OIl	0.6	Heat Coconut oil in 1 pot for 4 minutes on 500	
Choc Rasp Cookies 5kg	5 kg	Honey	1.25	Once heated, add Honey and stir continuesly until well combined.	
Choc Rasp Cookies 5kg	5 kg	Cacao Nibs	0.25	Add the following ingredients to well combined dough and blend for 3 minutes until it makes a thick dough	
Choc Rasp Cookies 5kg	5 kg	Pepita Intermediate	0.25	Add the following ingredients to well combined dough and blend for 3 minutes until it makes a thick dough	
Choc Rasp Cookies 5kg	5 kg	Broken Pecan and Raspberry blend	all of it	Add the following ingredients to well combined dough and blend for 3 minutes until it makes a thick dough	
MAPLE 300KG	300 kg	Walnuts Raw	160.0	Soak the night before, (12 HOUR SOAK, open tap in the morning)	Assembly: Soaking; Sauce Procedure Step 1 | Cooking: Sauce Procedure Step 2; Blending with paint stirer | Mixing: Silver Basin ingredients; Sauce Mixture | Bucketing: Laying; Dehydrating; Bucketing | This recipe is one batch , it will be split into 5 basins | Whisk added ingredients with paddle untill well combined then remove from heat | In 5 large silver basins, split the following ingredients into each basin equally using a 20L bucket | 1. Weigh out left over dust in buckets. Split evenly into basins. | (MAX HALF BUCKET OF DUST PER BASIN) | 2. Add sauce mixture to each large siver basin, Mix untill all nuts are covered in sauce | Lay mixed ingredients on dehydrating trays with a 3lt measuring jug as thin as possible, leaving a 2inch boarder around the edge. Each basin will occupy approximatley 44 trays | Dehydrate for 48hours at 55*C | Using a metal scoop, fill buckets (Silica on the top of bucket), place lid on tightly, write product and date on bucket lid
MAPLE 300KG	300 kg	Salt	0.75	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
MAPLE 300KG	300 kg	apple cider vinegar	0.125	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
MAPLE 300KG	300 kg	Pecans Raw	66.0	Soak the morning of, (6 HOUR SOAK)	
MAPLE 300KG	300 kg	Salt	0.75	Soak the morning of, (6 HOUR SOAK)	
MAPLE 300KG	300 kg	apple cider vinegar	0.125	Soak the morning of, (6 HOUR SOAK)	
MAPLE 300KG	300 kg	Nut butter	10.0	Blend the following in robotcoupe (blender)	
MAPLE 300KG	300 kg	Maple Syrup	10.0	In 5 large pots, cook the following at 3000 for 20minutes  till it bubbles	
MAPLE 300KG	300 kg	Tapioca	0.05	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
MAPLE 300KG	300 kg	Nut Butter	2.0	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
